               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08203,            0.063202,              0.0603,             0.25198,           0.0039959,          0.00041959,          0.00010882,            0.085714,            0.018222,            0.055232,           0.0033266,           0.0033266,             0.07006
                   1,            0.071501,            0.067491,            0.056642,             0.25288,             0.10922,           0.0021794,          0.00041956,            0.074642,            0.016301,            0.056109,           0.0066585,           0.0066585,            0.040059
                   2,            0.049825,            0.064114,            0.055045,             0.27748,             0.08666,           0.0061806,           0.0014804,            0.068792,            0.015998,             0.05312,           0.0099844,           0.0099844,            0.010052
                   3,            0.041931,            0.059878,            0.050325,             0.48977,             0.17721,             0.11777,             0.05384,            0.059386,            0.012352,            0.040545,             0.00998,             0.00998,             0.00998
                   4,            0.038512,            0.055254,            0.043433,             0.64792,             0.25611,             0.25356,             0.14588,            0.048705,            0.010428,            0.032424,             0.00998,             0.00998,             0.00998
                   5,            0.036316,            0.052718,            0.039376,             0.76197,             0.29511,             0.30226,              0.1787,            0.047142,           0.0089968,            0.029651,           0.0099645,           0.0099645,           0.0099645
                   6,            0.034719,            0.050488,            0.036001,             0.69061,               0.306,             0.32634,             0.19785,            0.043417,           0.0087712,            0.027234,           0.0099446,           0.0099446,           0.0099446
                   7,            0.033535,            0.048719,            0.033027,             0.74636,             0.36517,             0.40396,              0.2608,            0.041546,           0.0081863,            0.024033,           0.0099203,           0.0099203,           0.0099203
                   8,            0.032381,            0.047568,            0.031086,             0.63423,             0.41728,             0.40571,             0.26826,            0.041075,           0.0087112,            0.024513,           0.0098916,           0.0098916,           0.0098916
                   9,            0.031622,            0.046682,            0.029442,              0.7229,             0.44968,             0.45036,              0.2965,            0.039302,            0.008119,            0.020966,           0.0098586,           0.0098586,           0.0098586
                  10,            0.031097,            0.045679,            0.027896,             0.73678,             0.45534,             0.46223,             0.30565,            0.040181,           0.0077611,            0.020877,           0.0098213,           0.0098213,           0.0098213
                  11,            0.030327,            0.044872,            0.026934,             0.75881,             0.47287,              0.5019,             0.34264,            0.037588,           0.0073351,            0.019222,           0.0097798,           0.0097798,           0.0097798
                  12,            0.029944,            0.044107,            0.025946,             0.76452,             0.43703,             0.46977,             0.32787,             0.03864,           0.0081388,            0.019055,            0.009734,            0.009734,            0.009734
                  13,            0.029528,            0.043901,            0.025375,              0.7729,             0.50852,             0.52817,             0.36729,            0.035872,           0.0071681,            0.018097,            0.009684,            0.009684,            0.009684
                  14,              0.0291,            0.043501,            0.024269,             0.80209,             0.52172,             0.54698,             0.38812,            0.035323,           0.0068042,            0.016796,           0.0096299,           0.0096299,           0.0096299
                  15,            0.028648,            0.043117,             0.02365,             0.76006,             0.53614,             0.53152,              0.3819,            0.034748,           0.0069253,             0.01754,           0.0095717,           0.0095717,           0.0095717
                  16,            0.028539,            0.042637,            0.023028,             0.78815,             0.52502,             0.54531,             0.39134,            0.034614,            0.007013,            0.015555,           0.0095095,           0.0095095,           0.0095095
                  17,            0.027983,            0.042082,            0.022517,             0.83057,             0.53382,             0.56961,             0.41535,            0.034053,            0.006683,            0.015878,           0.0094434,           0.0094434,           0.0094434
                  18,             0.02774,            0.041657,            0.022089,             0.79966,             0.54045,             0.55943,             0.41422,             0.03332,           0.0067133,            0.015546,           0.0093733,           0.0093733,           0.0093733
                  19,            0.027548,            0.041615,             0.02142,             0.81634,             0.55818,             0.57254,             0.42088,            0.032253,           0.0065289,            0.014791,           0.0092995,           0.0092995,           0.0092995
                  20,            0.027293,            0.041058,            0.021257,             0.83958,             0.56399,             0.58039,             0.43331,            0.031791,           0.0063357,            0.014701,           0.0092219,           0.0092219,           0.0092219
                  21,            0.027072,            0.040719,            0.020553,             0.84591,             0.54598,             0.57845,             0.43455,            0.031979,           0.0063656,            0.013542,           0.0091406,           0.0091406,           0.0091406
                  22,             0.02678,            0.040577,            0.020304,             0.82209,             0.57412,             0.58445,             0.44147,            0.031212,           0.0062995,            0.013095,           0.0090557,           0.0090557,           0.0090557
                  23,             0.02659,            0.040071,            0.019719,             0.84057,             0.56599,             0.58861,             0.44646,            0.031605,           0.0063183,            0.013208,           0.0089673,           0.0089673,           0.0089673
                  24,            0.026493,            0.039806,            0.019542,             0.84388,             0.57617,             0.59786,             0.45096,             0.03051,           0.0060126,            0.012629,           0.0088755,           0.0088755,           0.0088755
                  25,            0.026222,            0.039822,            0.019152,             0.86156,             0.56911,             0.59835,             0.45828,             0.03005,           0.0060882,            0.012818,           0.0087804,           0.0087804,           0.0087804
                  26,            0.025933,             0.03934,            0.018775,             0.83465,             0.58144,              0.5979,             0.45075,            0.030877,            0.006076,             0.01225,            0.008682,            0.008682,            0.008682
                  27,              0.0258,            0.039038,            0.018544,             0.83328,             0.58271,             0.59854,             0.45153,            0.030558,           0.0060626,             0.01172,           0.0085805,           0.0085805,           0.0085805
                  28,            0.025624,            0.039065,            0.018095,             0.83445,             0.58343,             0.60312,              0.4576,            0.029817,           0.0060287,            0.011747,           0.0084759,           0.0084759,           0.0084759
                  29,            0.025433,            0.038801,            0.017846,             0.87287,             0.59234,             0.61707,             0.47855,             0.02894,           0.0057225,            0.011241,           0.0083684,           0.0083684,           0.0083684
                  30,            0.025219,            0.038183,            0.017616,             0.86167,              0.5987,             0.61654,              0.4733,            0.028995,           0.0058252,            0.011108,           0.0082581,           0.0082581,           0.0082581
